y,p,r,flex1,flex2,flex3,flex4,x
20.98,130.05,-109.01,967.00,1023.00,1023.00,1023.00,305
12.00,127.06,-119.17,967.00,1023.00,1023.00,1023.00,306
6.93,125.93,-127.92,958.00,1023.00,1023.00,1023.00,307
5.58,126.09,-133.95,962.00,1023.00,1023.00,1023.00,308
4.31,126.53,-138.64,975.00,1023.00,1023.00,1023.00,309
3.44,126.71,-141.86,979.00,1023.00,1023.00,1022.00,310
3.77,126.60,-142.64,981.00,1023.00,1023.00,1023.00,311
4.77,126.35,-142.45,986.00,1023.00,1023.00,1022.00,312
6.27,126.20,-142.47,989.00,1023.00,1023.00,1022.00,313
8.57,125.64,-141.85,984.00,1023.00,1023.00,1023.00,314
11.14,125.04,-140.66,995.00,1023.00,1023.00,1023.00,315
13.31,124.87,-139.61,991.00,997.00,1023.00,1022.00,316
15.39,124.83,-138.77,994.00,947.00,1023.00,1023.00,317
17.42,124.63,-138.73,1006.00,895.00,1023.00,944.00,318
19.71,124.07,-139.58,978.00,860.00,1023.00,925.00,319
21.56,122.88,-139.16,923.00,809.00,1023.00,1023.00,320
25.45,121.05,-136.47,934.00,834.00,1023.00,1023.00,321
29.49,118.76,-132.42,941.00,870.00,1023.00,1023.00,322
32.39,117.13,-129.05,937.00,907.00,1023.00,1023.00,323
33.68,116.27,-127.52,949.00,921.00,1023.00,1023.00,324
34.43,115.47,-126.79,961.00,956.00,1023.00,1023.00,325
34.00,115.13,-127.47,962.00,975.00,1023.00,1023.00,326
33.20,115.12,-129.19,969.00,980.00,1023.00,1023.00,327
32.77,114.92,-130.41,981.00,998.00,1023.00,1023.00,328
32.56,114.77,-131.63,986.00,1001.00,1023.00,1023.00,329
31.56,114.86,-133.74,989.00,1001.00,1023.00,1023.00,330
30.01,115.61,-135.66,1001.00,1011.00,1023.00,1023.00,331
27.34,117.28,-138.19,1003.00,1019.00,1023.00,1023.00,332
23.02,120.02,-142.18,1012.00,1016.00,1023.00,1022.00,333
18.12,124.25,-147.06,1023.00,1010.00,1023.00,1023.00,334
13.88,130.33,-152.25,1023.00,1013.00,1023.00,1023.00,335
9.80,136.01,-158.14,1023.00,1023.00,1023.00,1023.00,336
6.45,142.08,-162.08,1023.00,1023.00,1023.00,1023.00,337
4.88,148.99,-163.04,1023.00,1023.00,1023.00,1023.00,338
5.43,153.00,-165.28,1023.00,1023.00,1023.00,1023.00,339
6.65,155.78,-162.79,1023.00,1023.00,1023.00,1023.00,340
6.19,160.75,-162.51,1023.00,1014.00,1023.00,1023.00,341
6.50,164.34,-162.85,1021.00,1023.00,1023.00,1023.00,342
6.59,169.20,-161.52,1021.00,1023.00,1023.00,1023.00,343
7.16,172.85,-162.56,1021.00,1023.00,1023.00,1023.00,344
7.41,174.43,-162.63,1005.00,1023.00,1023.00,1023.00,345
7.85,175.88,-162.47,1007.00,1023.00,1023.00,1023.00,346
7.97,176.18,-163.06,1013.00,1023.00,1023.00,1023.00,347
8.22,176.64,-163.15,1012.00,1023.00,1023.00,1023.00,348
8.23,176.71,-163.63,1012.00,1023.00,1023.00,1023.00,349
8.19,176.41,-164.47,1012.00,1023.00,1023.00,1023.00,350
8.09,176.07,-164.95,1016.00,1023.00,1023.00,1023.00,351
1023.00,1023.00,-164.95,1016.00,1023.00,1023.00,1023.00,351
4.32,2.30,-3.62,1023.00,1023.00,1023.00,1023.00,352
4.34,2.28,-3.50,1023.00,1023.00,1023.00,1023.00,353
4.37,2.25,-3.41,1023.00,1023.00,1023.00,1023.00,354
4.43,2.17,-3.36,1023.00,1023.00,1023.00,1023.00,355
4.61,1.93,-3.21,1023.00,1023.00,1023.00,1022.00,356
5.04,1.39,-3.32,1023.00,1023.00,1023.00,1023.00,357
5.64,0.46,-3.77,1023.00,1023.00,1023.00,1023.00,358
6.40,-0.68,-4.05,1023.00,1023.00,1023.00,1023.00,359
6.95,-1.96,-4.62,1023.00,1022.00,1023.00,1022.00,360
7.04,-3.57,-6.36,1023.00,1023.00,1023.00,1023.00,361
7.55,-5.91,-8.82,1023.00,1023.00,1023.00,1023.00,362
9.00,-9.18,-12.18,1023.00,1023.00,1023.00,1023.00,363
11.64,-12.59,-16.87,1023.00,1023.00,1023.00,1023.00,364
15.38,-15.95,-23.02,1023.00,1023.00,1023.00,1023.00,365
20.98,-18.25,-30.47,1023.00,1023.00,1023.00,1023.00,366
28.50,-17.75,-38.04,1023.00,1023.00,1023.00,1023.00,367
37.69,-14.13,-44.58,1023.00,1023.00,1023.00,1023.00,368
47.48,-7.88,-49.77,1023.00,1023.00,1023.00,1023.00,369
55.89,0.27,-54.86,1023.00,1023.00,1023.00,1023.00,370
61.09,9.50,-60.62,1023.00,1023.00,1023.00,1023.00,371
61.83,19.58,-68.22,1023.00,1023.00,1023.00,1023.00,372
53.61,29.47,-78.23,974.00,1023.00,1023.00,1023.00,373
37.97,37.72,-89.87,976.00,1023.00,1023.00,1023.00,374
24.93,136.46,-101.74,957.00,1023.00,1023.00,1023.00,375
13.72,133.19,-113.32,966.00,1023.00,1023.00,1023.00,376
8.08,131.91,-120.81,975.00,1023.00,1023.00,1023.00,377
7.24,131.02,-124.40,978.00,1023.00,1023.00,1022.00,378
6.42,130.51,-127.37,962.00,1023.00,1023.00,1023.00,379
6.30,130.18,-129.33,973.00,1023.00,1023.00,1022.00,380
7.10,130.32,-129.96,986.00,1023.00,1023.00,1023.00,381
8.47,130.39,-130.32,989.00,1023.00,1023.00,1023.00,382
9.14,130.04,-130.78,986.00,1023.00,1023.00,1023.00,383
10.51,129.50,-131.01,990.00,1023.00,1023.00,1023.00,384
12.23,129.04,-131.06,988.00,1023.00,1023.00,1022.00,385
14.01,128.65,-130.29,989.00,996.00,1023.00,1023.00,386
15.71,128.41,-129.85,993.00,906.00,1023.00,928.00,387
18.40,127.73,-129.73,983.00,809.00,1023.00,983.00,388
21.55,126.17,-128.25,1007.00,806.00,1023.00,1023.00,389
24.88,124.56,-125.91,926.00,789.00,1023.00,1023.00,390
28.84,122.67,-122.43,964.00,816.00,1023.00,1023.00,391
32.56,120.96,-117.97,967.00,837.00,1023.00,1023.00,392
35.23,120.14,-115.56,962.00,844.00,1023.00,1023.00,393
35.95,119.36,-115.60,963.00,852.00,1023.00,1023.00,394
36.41,118.62,-115.28,977.00,876.00,1023.00,1023.00,395
36.62,118.25,-115.56,978.00,898.00,1023.00,1023.00,396
36.00,117.90,-117.16,978.00,894.00,1023.00,1023.00,397
35.02,117.59,-118.71,984.00,913.00,1023.00,1023.00,398
33.87,117.54,-120.65,982.00,941.00,1023.00,1023.00,399
